Summary,Issue Type,Status,Project name,Project type,Description
Section Info: Need a direct way to navigate back to the main â€œStudent Membershipsâ€ page/list of Students after assigning/unassigning a Student,Bug,Verified,Sakai,software,"When using the â€œStudent Membershipsâ€ option in Section Info, there is no direct way to navigate back to the main â€œStudent Membershipsâ€ page/list of Students after using one of the â€œassignâ€ or â€œunassignâ€ links to change the Studentâ€™s membership to a different Section.

Â 

On the â€œStudent Membershipsâ€ page, able to use tab, shift+tab, and up/down arrow keys to navigate through a list of Students and view their Section memberships. After moving focus onto one of the Studentâ€™s names, able to press enter to edit their Section membership by navigating to the â€œAssignâ€ link for a certain Section and pressing enter. When the page refreshes, it will now show that the Student has been assigned to the new Section.

Â 

However, there doesnâ€™t seem to be a direct way, for example a â€œbackâ€ button/link, Â to navigate back to the â€œStudent Membershipsâ€ page/list of Students??

Â 

If you navigate up to the â€œStudent Membershipsâ€ link and press enter, the edit page for the currently selected Student continues to be displayed.

Â 

You can navigate up to the â€œAdd Sectionsâ€ or â€œOptionsâ€ link and press enter, which will take you to the respective pages for those options, and if you then navigate to the â€œStudent Membershipsâ€ link and press enter, the main Student Memberships page/list of Students will once again appear.

Â 

If you try to use the ALT+left arrow keyboard command you will get the following error message:

Â 

â€œConfirm Form Resubmission

This webpage requires data that you entered earlier in order to be properly displayed. You can send this data again, but by doing so you will repeat any action this page previously performed.

* Press the reload button to resubmit the data needed to load the page.

ERR_CACHE_MISSâ€

Â 

And there doesnâ€™t appear to be an easy way to dismiss the error message without closing out of your browsing session, so you will end up having to log back into Sakai."
Discussions: Author profile popups do not display,Bug,Resolved,Sakai,software,"The popups (qtip2) that display when clicking on the profile image of a post author in Discussions no longer work. Only a â€œLoadingâ€¦â€ message now displays.

Reverting the changes to SakaiProfile.js introduced with SAK-49690 restores this behavior, though doing so likely reverts the intent of SAK-49690."
"Add a ""Select All"" option in the header of the Select column for the new bulk publish feature",Feature Request,Open,Sakai,software,"Please add a â€œSelect Allâ€ option in the header of the Select column for Assignments, Announcements, and Tests & Quizzes. If you have a lot of items in those tools, it is cumbersome to have to click down the list to select all of them. Users are accustomed to having a â€œSelect All / Noneâ€ option at the top of the column to make it easier to select or deselect all of the items currently displayed. 

!2024-04-03_13-19-24.jpg|width=91.66666666666667%,alt=""2024-04-03_13-19-24.jpg""!"
Inconsistency in the new Bulk Publish feature among tools,Bug,Open,Sakai,software,"The new bulk publish option in Assignments, Announcements, and Tests & Quizzes is a very nice addition, but there is a lot of inconsistency in the way it works in the different tools. It would be a much better user experience if the tools behaved in a more consistent manner when using this feature. 

For example, in Assignments, you can now select several items and choose the Publish button below. Note that the buttons for Remove, Publish, and Unpublish are all in dark blue once one or more check boxes are selected. 

!2024-04-03_12-11-39.jpg|width=100%,alt=""2024-04-03_12-11-39.jpg""!

After clicking Publish, you get a confirmation screen showing you a table that lists the assignments to be published along with the due date. It also includes the Status (Open, Due, Closed) and the number of Submissions. I can see where the Status might be useful, but Iâ€™m not entirely sure why Submissions are shown here. I assume that information is more applicable when Unpublishing an assignment? It just seems a bit odd to include in this screen.

!2024-04-03_12-11-47.jpg|width=100%,alt=""2024-04-03_12-11-47.jpg""!

In the Announcements tool, you have a similar experience to Assignments, but there is an extra button. When you choose one or more draft Announcements, you get Remove, Publish, Unpublish, and Clear Selections buttons. Note that the Remove, Publish, and Unpublish buttons are dark blue, as they appear in Assignments. However, there is the extra Clear Selections buttons which does not appear in Assignments and which I think would be useful in other tools where this bulk feature appears. 

!2024-04-03_12-39-50.jpg|width=91.66666666666667%,alt=""2024-04-03_12-39-50.jpg""!

Announcements, like Assignments, also provides you with a confirmation screen showing a table with the announcement information.

!2024-04-03_13-08-22.jpg|width=91.66666666666666%,alt=""2024-04-03_13-08-22.jpg""!

Now, in contrast, when you go to Test & Quizzes and use the Bulk Publish feature, you also get a Select check box to choose the items you want to Publish. Note that here, the buttons for Remove and Publish are not dark blue, they are the default gray color when enabled. These should be a consistent dark blue color in both tools for the Remove and Publish buttons. Also, there is no Unpublish or Clear Selections buttons shown here. I understand why the Unpublish button might be problematic, given the way that T&Q handles draft and published items as separate entities. However, it does present additional inconsistency in the UI. Perhaps a Retract button could be added in place of Unpublish? In any case, a Clear Selections button would be useful here. 

!2024-04-03_12-34-38.jpg|width=100%,alt=""2024-04-03_12-34-38.jpg""!

Upon clicking Publish in T&Q, instead of a table showing assessment information, as is shown in Assignments and Announcements, you just get a pop-up message asking for confirmation. 

!2024-04-03_12-12-37.jpg|width=542,height=171,alt=""2024-04-03_12-12-37.jpg""!

This pop-up does not provide the same level of information as is displayed in the other two tools. In addition, the option to add assessment due dates to the Calendar is typically displayed to the instructor in the publish screen on an individual quiz. If you bulk publish, there is no way to check the box to add the due date to the Calendar. Unlike Assignments, you canâ€™t go into the Settings to select that box after publishing, since it doesnâ€™t appear there. (See the related Jira requesting that the publish to calendar check box be added to assessment Settings. [https://sakaiproject.atlassian.net/issues/SAK-38306|https://sakaiproject.atlassian.net/issues/SAK-38306] )

It would be far more preferable for T&Q to display a table with the assessment information, and this would also provide the opportunity to include a column containing the option to send the due date to the Calendar. See mockup below. 

!2024-04-03_13-03-23.jpg|width=100%,alt=""2024-04-03_13-03-23.jpg""!"
Rubric sorting by date does not work correctly,Bug,Resolved,Sakai,software,Rubric sorting by date should use the raw numeric date and not the formatted date
Re-apply webcomponent mods made before empathise merge,Bug,Verified,Sakai,software,"The big empathise merge may have wiped out a couple of previous fixes like [https://sakaiproject.atlassian.net/browse/SAK-47611|https://sakaiproject.atlassian.net/browse/SAK-47611|smart-link]

SAK-48323 webcomponents. Bundle and remove empathise. (#11789)"
Console error on initial user login: Uncaught (in promise) TypeError: Cannot read properties of null (reading 'unsubscribe'),Bug,Resolved,Sakai,software,"On login, there is a console error on 23.x: 

sakai-message-brokerâ€¦version=a2c96ff3:30 Uncaught (in promise) TypeError: Cannot read properties of null (reading 'unsubscribe')

    at sakai-message-brokerâ€¦sion=a2c96ff3:30:24

(anonymous)	@	sakai-message-brokerâ€¦version=a2c96ff3:30

Promise.then (async)		

(anonymous)	@	sakai-message-brokerâ€¦version=a2c96ff3:28

Promise.then (async)		

(anonymous)	@	sakai-message-brokerâ€¦version=a2c96ff3:19



This does not occur on Trunk or 22.x.  I donâ€™t see any impact on the user from this console error"
Rubrics: Removing a newly-created criterion before refreshing the page shows the wrong name,Bug,Closed,Sakai,software,"In Rubrics, if you create a criterion for a rubric, and then click the remove button (before refreshing the page), the Delete Criterion popup modal shows the default â€œNew Criterionâ€ name instead of the actual criterionâ€™s name. This can be confusing when instructors are creating rubrics. Deletion works as expected, though.

Issue affects 25x and 23x."
Tests & Quizzes: Bulk publish needs an option to add due date to calendar,Bug,Open,Sakai,software,"When using the bulk publish option for Tests & Quizzes, there isnâ€™t a way to add the due date to the calendar. Normally, this is a checkbox on the publish confirmation page for individual tests. 

Iâ€™m thinking about a confirmation page similar to what Assignments has for bulk publish, with a table of dates and checkboxes for adding the due date to calendar for each test (and a select all option)"
Tests & Quizzes: Bulk publish allows duplicate test names,Bug,Open,Sakai,software,"If an instructor uses the bulk publish option multiple times, they will have multiple tests with the same name. It seems like it should either give an error or automatically add a number after the duplicate names. 

The second option is what occurs if you import from site â†’ merge data, and import tests from multiple sites with the same name or import the same site multiple times, so it would be the most consistent option."
Dashboard Tool Not Responsive,Bug,Closed,Sakai,software,"The Course Dashboard is not responsive. If you view it in mobile view, the course image doesnâ€™t resize and the description text in layout option 2 gets pushed off the right side of the screen and you have to scroll sideways to see the text.  You also have to scroll way, way down to get to any of the other widgets on the screen, and this is not obvious since the description text is not readily visible.

!2024-04-01_15-58-12.jpg|width=471,height=821,alt=""2024-04-01_15-58-12.jpg""!



!2024-04-01_15-59-22.jpg|width=459,height=816,alt=""2024-04-01_15-59-22.jpg""!"
